nev_name,avg_sed_export_diff_1992_2020_ha,stdev_sed_export_diff_1992_2020_ha,valid_count_sed_export_diff_1992_2020_ha,count_sed_export_diff_1992_2020_ha,p5_sed_export_diff_1992_2020_ha,p95_sed_export_diff_1992_2020_ha
Nicaragua,0.3354794675657994,13.194906827237034,1232002,1390507,-0.07289578355848789,0.9461718380451198
Niger,0.2535128633007007,9.1767718703363,4290695,13060644,-0.1652674064040184,0.11898822858929578
Nigeria,0.15715245041887,10.384500235721413,9518944,9714136,-0.46177217513322827,1.500086724758145
Niue,,,0,3099,,
Norfolk Island,,,0,567,,
North Korea,7.927997662454862,70.2813109618027,1546922,1687870,-0.0371252931654453,27.83640956878651
Northern Mariana Islands,,,0,7481,,
Norway,,,0,1167727,,
Oman,1.214924529314363,37.83784413398989,326120,3486312,-0.6140044718980789,0.23686430454254015
Pakistan,-2.542417104028984,41.66326589532173,6983150,10621823,-4.193723201751709,0.03227156251668921
Palau,,,0,6751,,
Panama,-0.7878918098712652,47.79290489017753,669904,811458,-0.49631629586219783,0.44289879351854294
Papua New Guinea,6.676294153028542,183.79729316737573,4297695,4982993,-0.04412013776600357,0.5411347985267638
Paraguay,0.09243289058774043,1.7222854823905431,4547909,4568815,-0.007767213881015775,0.21504995822906475
Peru,-1.0904556668692948,47.10697131544734,12818224,13833834,-0.3895897716283798,0.07586367242038246
Philippines,4.844412627797722,142.13281018403802,2267157,3265889,-8.988414573669433,10.084975242614739
Pitcairn Islands,,,0,728,,
Poland,-0.014817341298901228,0.7405261825241107,5238212,5318818,-0.03455733116716146,0.0038296915241517225
Portugal,0.28863439954025927,7.1676456258133765,1142383,1260641,-0.5730713605880737,0.9501875340938564
Puerto Rico,-3.4495956608396723,29.702009095439504,68360,101175,-16.179237937927244,0.0598239617422223
Qatar,-0.017836516569904506,0.061412614808569195,2676,136286,-0.10216773860156536,0.0
Republic of Serbia,-0.20014931762060062,8.857936386434336,1293049,1296071,-0.9179708123207091,0.049976855516433535
Republic of the Congo,-0.42991921805612576,11.160674147880234,3582917,3601837,-0.5404227018356322,0.0024202277883887207
Romania,-0.15058470027644077,3.7479288265675574,3549404,3578949,-0.7777062445878979,0.022755027655511805
Russia,0.07419352727891951,4.7097614773144905,129440739,147057838,-0.005031566601246595,0.01227784138172855
Rwanda,6.917212077825285,105.96557648400031,254930,266338,-12.675755548477172,34.777532386779704
Saint Barthelemy,,,0,322,,
Saint Helena,,,0,6128,,
Saint Kitts and Nevis,,,0,3211,,
Saint Lucia,,,0,6899,,
Saint Martin,,,0,785,,
Saint Pierre and Miquelon,,,0,3965,,
Saint Vincent and the Grenadines,,,0,4571,,
Samoa,,,0,32006,,
San Marino,-3.8251481976425437,21.756425256933046,342,892,-5.0415552139282225,-0.00013446127704810361
Saudi Arabia,-0.11086749665208281,11.853625915488484,1968388,22220539,-0.19907912462949745,0.17966323643922705
Senegal,-0.0036664361110371564,0.36328427163497834,2084604,2142636,-0.01493087699636816,0.0012278884067200015
Seychelles,,,0,7176,,
Sierra Leone,-0.3906556688383984,24.981244206956372,727530,774144,-1.265754818916319,1.0956294775009134
Singapore,-0.3085206062563004,1.5576750857916126,1240,7516,-2.789350521564484,1.0217770338058465
Sint Maarten,,,0,425,,
Slovakia,0.06283399670453096,4.5200960405170045,776369,777430,-0.39902078509330746,0.21727034449577332
Slovenia,2.6715457188069767,50.53312196646002,290690,301188,-0.022535697463899846,4.825827121734619
Solomon Islands,0.5470776326129174,9.853611914386136,99896,324869,0.0,0.03088069101795554
Somalia,0.0023914814953146842,2.670982551046732,5789044,6719359,-0.020646769925951956,0.023890719562768753
South Africa,0.30769123857557457,7.64149972159008,14425999,14666687,-0.01088657882064581,0.4005918502807617
South Georgia and the Islands,,,0,76147,,
South Korea,15.534239484018329,105.14093780487981,1068255,1323411,-1.9541070461273193,86.76040039062453
South Sudan,-0.04437912620638155,3.166902965364567,6664869,6668885,-0.03447910696268081,0.0020239455159753554
Spain,0.10090740105631905,11.978014653169534,6624703,6964922,-0.3626507371664044,0.3570172667503343
Spratly Islands,,,0,149,,
Sri Lanka,0.6152966883117916,32.853608519792125,628471,709583,-0.4411267191171646,1.6678164601325989
Sudan,0.045268475787647304,3.6394534116725863,9189297,20529999,-0.029746265709400165,0.05386555269360532
Suriname,0.0012634659383572403,0.08035982969800644,1513578,1546280,0.0,1.142647565757215e-05
Sweden,0.030621977594088988,0.4935234963426702,1218607,2884356,-2.580058776402436e-07,0.06486308127641677
Switzerland,2.882483308061557,54.46769482565772,596845,629700,-1.0871935129165649,13.0383882522583
Syria,-0.2281316273860275,13.585623573609842,1483428,2393377,-0.09149227291345596,0.013445914676412875
Ṣo Tom̩ and Principe,0.8091184893545766,5.021390356821575,1423,11324,7.959199251672666e-07,2.7162302017211797
Taiwan,14.827740698954694,202.4522438340446,367835,424779,-1.8799231052398682,13.19979772567747
Tajikistan,-0.006604687144224424,71.2595061314808,1295585,1902976,-1.5340612173080443,0.9081358909606938
Thailand,0.25838637237006434,26.117522249873858,5412680,5624565,-0.5722739785909653,0.597085434198379
The Bahamas,-0.0005718757646888477,0.0174455693826222,37506,169940,-2.5747684958332684e-05,0.00015668856212869287
Togo,-2.1245330229561765,41.07947334396539,602278,606325,-3.0023036479949945,0.605583477020264
Tonga,,,0,9892,,
Trinidad and Tobago,0.03520902844118322,7.247958619440077,32156,56412,-0.13913629949092865,0.3936973512172699
Tunisia,-0.0721158388034475,3.6552004425571254,836896,1968522,-0.0618400564417243,0.20866183191537857
Turkey,-0.32486061090524065,17.29415738067072,9905366,10556454,-1.922311246395111,0.3199869990348816
Turkmenistan,-0.07098795375330286,2.1771769566679136,3937492,6626214,-0.023927176371216774,0.00010298419110767895
Turks and Caicos Islands,0.0004942863452725295,0.017313748031099457,615,12159,-8.843895926702317e-08,0.0079689547419548
Tuvalu,,,0,621,,
Uganda,0.5258175055600754,29.455462959881718,2178028,2543431,-0.31100447773933404,0.08487519100308352
Ukraine,-0.04006068239620733,1.1097023340912329,9283170,9592817,-0.11757764667272567,0.00021587311639450373
United Arab Emirates,-0.5830738996047196,4.7604325146270465,33647,823165,-1.604667043685913,0.001442374917678529
United Kingdom,0.11324738081842065,7.0755605152291245,3558268,4383412,-0.052972156554460526,0.04198671132326126
United Republic of Tanzania,-0.3578611462079243,29.18495337260471,9260100,9975876,-0.8630470305681228,0.8112802118062955
United States Minor Outlying Islands,,,0,650,,
United States Virgin Islands,,,0,4503,,
United States of America,0.08740542221596674,8.29172992668241,103631763,113753491,-0.009487775154411793,0.055792981758713556
Uruguay,-0.05597851328661628,0.646668183146289,2148252,2221173,-0.14734677001833915,0.0003588479885365814
Uzbekistan,-0.08208789068761971,18.502713083297436,4210685,6281972,-0.19625909626483917,0.004148150887340265
Vanuatu,-60.79363567774465,344.55583453862397,27171,148549,-300.31288146972656,0.0
Vatican,0.0014520325801438754,0.0018561756053003876,9,9,0.0,0.004268067795783281
Venezuela,0.1078766119889935,18.322160527431897,9394450,9707824,-0.009032061928883194,0.024347189348191012
Vietnam,7.128401131965077,130.58917998796346,3370422,3642922,-2.5931674122810353,21.042596626281735
Wallis and Futuna,,,0,2488,,
Yemen,-0.5479006418694148,20.095938841930792,2089210,4958798,-0.541803753376007,0.1949688158929337
Zambia,0.1015841739979898,2.723928022764644,7974345,8132783,-0.007998945191502571,0.08046307861804934
Zimbabwe,0.15722639782505782,15.137173058435872,4311287,4342019,-0.6006399095058441,1.2106387019157385
eSwatini,4.633195177322371,40.72155822977132,203725,204074,-0.048000879585742944,21.24178504943844
