continent,avg_n_retention_ratio_2020,stdev_n_retention_ratio_2020,valid_count_n_retention_ratio_2020,count_n_retention_ratio_2020,p5_n_retention_ratio_2020,p95_n_retention_ratio_2020,avg_n_retention_ratio_diff_1992_2020,stdev_n_retention_ratio_diff_1992_2020,valid_count_n_retention_ratio_diff_1992_2020,count_n_retention_ratio_diff_1992_2020,p5_n_retention_ratio_diff_1992_2020,p95_n_retention_ratio_diff_1992_2020,avg_sed_retention_ratio_2020,stdev_sed_retention_ratio_2020,valid_count_sed_retention_ratio_2020,count_sed_retention_ratio_2020,p5_sed_retention_ratio_2020,p95_sed_retention_ratio_2020,avg_sed_retention_ratio_1992,stdev_sed_retention_ratio_1992,valid_count_sed_retention_ratio_1992,count_sed_retention_ratio_1992,p5_sed_retention_ratio_1992,p95_sed_retention_ratio_1992,avg_n_retention_ratio_1992,stdev_n_retention_ratio_1992,valid_count_n_retention_ratio_1992,count_n_retention_ratio_1992,p5_n_retention_ratio_1992,p95_n_retention_ratio_1992,avg_sed_retention_ratio_diff_1992_2020,stdev_sed_retention_ratio_diff_1992_2020,valid_count_sed_retention_ratio_diff_1992_2020,count_sed_retention_ratio_diff_1992_2020,p5_sed_retention_ratio_diff_1992_2020,p95_sed_retention_ratio_diff_1992_2020
Africa,0.8410479298321333,0.14816661213740567,205746600,331763328,0.6564481854438782,0.9572299122810364,0.001006648078314253,0.08469108850166927,205660239,331763328,-0.03656560182571411,0.04706120491027832,0.9421861852497337,0.06033003019358124,210224097,331761874,0.8427095413208008,0.9905416369438171,0.9424483369321305,0.09859291366592275,210263307,331761874,0.8437553644180298,0.9906039834022522,0.8401017511939712,0.14940472569232038,206112176,331763328,0.6545281410217285,0.9581612348556519,-0.0002642743975429861,0.08073963179498475,210158355,331761874,-0.012618780136108398,0.01224297285079956
Antarctica,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,
Asia,0.7525728318857019,0.24488348644582913,275924752,399061344,0.07179830707609655,0.9962221384048462,-2.065930644291551e-05,0.13099391747735967,275413413,399061344,-0.058215200901031494,0.05264326333999492,0.9054270936380268,0.21492433005763845,279009190,399059725,0.7791165113449097,0.9822645783424377,0.9054043993618333,0.23195648651537643,279029879,399059725,0.7780928015708923,0.9832128882408142,0.7524403409141184,0.2471498047886312,276325429,399061344,0.016999687999486927,0.9970887303352356,1.91169451637019e-05,0.08643614261615261,278879046,399059725,-0.013446986675262451,0.015354752540588379
Europe,0.838874745043295,0.18027353449056996,182048556,225593740,0.42950940132141113,0.9841723442077637,-0.001475027510417917,0.07902827720890732,181982877,225593740,-0.021928250789642334,0.01885056495666504,0.9467055862676933,0.09787313722915657,189003993,225594140,0.8446518182754517,0.9926517605781555,0.9469457963508787,0.08592666292733575,189058120,225594140,0.843680676817894,0.992720901966095,0.8403674966495569,0.17719925315541502,182123674,225593740,0.4490813210606575,0.9832694739103314,-0.0002381736633408315,0.06743056380827905,188942818,225594140,-0.010135233402252197,0.00928419828414917
North America,0.8275191495398134,0.21852218494867068,201922868,248942123,0.21834111288189895,0.9941180348396301,-0.001927696399335827,0.07332095444202026,201815461,248942123,-0.013218343257904053,0.011166989803314209,0.9531946694086524,0.12267715166788011,202325395,248942144,0.8745132684707642,0.9933436512947083,0.9538854834111233,0.14207453089394337,202515882,248942144,0.8756781220436096,0.9934276342391968,0.8293813016673384,0.21611601771938718,202030559,248942123,0.23198233395814896,0.993603527545929,-0.0006734815439966458,0.08234341991319043,202116294,248942144,-0.0084037184715271,0.0035419464111328125
Oceania,0.8025025433182099,0.13578974232869315,84596178,100279189,0.643582284450531,0.9468537062406535,0.001150570486763222,0.07614886520047415,84526764,100279189,-0.03298044204711914,0.04040210545062983,0.9356701767279256,0.04850211756026307,89849524,100286225,0.8642516732215881,0.9835093021392822,0.9352445336997589,0.06428494862201013,89840153,100286225,0.8632627725601196,0.9837533831596375,0.8013203695616037,0.13562182650456278,84582380,100279189,0.6415697932243347,0.946747902035713,0.00042347405015926104,0.05344357453328395,89824848,100286225,-0.009718239307403564,0.013139188289642334
Seven seas (open ocean),,,0,266164,,,,,0,266164,,,,,0,263964,,,,,0,263964,,,,,0,266164,,,,,0,263964,,
South America,0.8606065934942718,0.16176809142370044,174463790,199669610,0.5579611659049988,0.9775651693344116,-0.0025474801029507126,0.07652354385215732,174345952,199669610,-0.03528189659118652,0.020967854559421184,0.9496784675234939,0.08732556081881489,178863114,199669348,0.8424251079559326,0.9939193725585938,0.95104490555555,0.09176373368453972,179054460,199669348,0.8422964215278625,0.9940398931503296,0.8631616670292728,0.15909651857129273,174675301,199669610,0.5679917335510254,0.9740532040596008,-0.001336414006732101,0.031031477172379352,178795595,199669348,-0.016543567180633545,0.0057732462882995605
