region_wb,avg_sed_export_diff_1992_2020_ha,stdev_sed_export_diff_1992_2020_ha,valid_count_sed_export_diff_1992_2020_ha,count_sed_export_diff_1992_2020_ha,p5_sed_export_diff_1992_2020_ha,p95_sed_export_diff_1992_2020_ha
Antarctica,,,0,76147,,
East Asia & Pacific,0.4057227444537404,46.8934884205862,259597613,304700865,-0.332619535923004,0.23867471814155472
Europe & Central Asia,0.04228892336351646,11.84745097602461,264688058,299279259,-0.059218400344252575,0.027998617012053417
Latin America & Caribbean,-0.08785419452312375,26.18933410199799,216816876,230562818,-0.10425589419901371,0.25685084611177444
Middle East & North Africa,0.004469686706234143,12.678392829682625,30388763,130179648,-0.24112468063831327,0.22061801403760872
North America,0.0651091332903963,10.272504684039188,190850014,218031242,-0.004541462450288236,0.019764196779578913
South Asia,-0.38251506544236674,40.75713435787798,50635088,59467926,-0.3796457692980766,0.06252868101000753
Sub-Saharan Africa,0.06784211266837985,22.762102797672572,210960662,263279515,-0.1425118289887905,0.17101029902696574
